Date,Type,Country,State,Location,Activity,Sex,Age,Injury,Time,Species,Extracted_date,Month,Year,Age_group
08 Dec-2023,Unprovoked,AUSTRALIA,QUEENSLAND,1770 ,Swimming,Unknown,nan,Survived,16h32,Unknown,Dec-2023,Dec,2023,Unknown
30 Nov-2023,Unprovoked,AUSTRALIA,QUEENSLAND,Clack Island,Swimming,M,21,Survived,11h30,Bull Shark,Nov-2023,Nov,2023,Young Adult
10 Nov-2023,Unprovoked,AUSTRALIA,SOUTH AUSTRALIA,Port Noarlunga,Diving,F,32,Survived,13h20,Unknown,Nov-2023,Nov,2023,Young Adult
05 Nov-2023,Unprovoked,USA,FLORIDA,"Juno Beach, Palm Beach County",Swimming,M,66,Survived,10h30,Unknown,Nov-2023,Nov,2023,Senior
03 Nov-2023,Unprovoked,AUSTRALIA,WESTERM AUSTRALIA,Peak Island,Fishing,M,nan,Survived,14h00,Lemon Shark,Nov-2023,Nov,2023,Unknown
02 Nov-2023,Unprovoked,NEW ZEALAND,NORTH ISLAND,Cape Pallister,Diving,M,nan,Survived,09h00,Great White,Nov-2023,Nov,2023,Unknown
31 Oct-2023,Unprovoked,AUSTRALIA,SOUTH AUSTRALIA,Streaky Bay,Surfing,M,55,Fatal,10h20,Great White,Oct-2023,Oct,2023,Adult
25 Oct 2023,Unprovoked,USA,HAWAII,"Pua’ena Point,  Haleiwa, Oahu",Surfing,M,30,Survived,15h00,Tiger Shark,Oct 2023,Oct,2023,Young Adult
23 Oct-2023,Provoked,MEXICO,QUINTANA ROO,Banco Chinchorro Biosphere Reserve,Fishing,M,59,Survived,,Unknown,Oct-2023,Oct,2023,Adult
21 Oct-2023,Other,AUSTRALIA,WESTERN AUSTRALIA,"Alexander Bay, Esperance",Fishing,M,nan,Survived,17h00,Unknown,Oct-2023,Oct,2023,Unknown
15 Oct 2023,Unprovoked,USA,HAWAII,"Hanalei Bay, Kauai",Surfing,M,50,Survived,16h00,Tiger Shark,Oct 2023,Oct,2023,Adult
13 Oct-2023,Unprovoked,USA,CALIFORNIA,"Linda Mar, Pacific State Beach, San Mateo County",Surfing,M,52,Survived,15h45,Unknown,Oct-2023,Oct,2023,Adult
02 Oct-2023,Unprovoked,USA,HAWAII,"Paia, Maui",Surfing,F,45,Survived,13h00,Unknown,Oct-2023,Oct,2023,Adult
01 Oct-2023,Unprovoked,AUSTRALIA,SOUTH AUSTRALIA,Beachport,Swimming,F,64,Survived,07h45,Unknown,Oct-2023,Oct,2023,Senior
01 Oct-2023,Unprovoked,USA,CALIFORNIA,"Wildcat Beach, Marin County",Swimming,M,52,Survived,10h40,Unknown,Oct-2023,Oct,2023,Adult
18 Sep-2023,Unprovoked,USA,SOUTH CAROLINA,"Myrtle Beach, Horry County",Swimming,M,nan,Survived,16h00,Unknown,Sep-2023,Sep,2023,Unknown
12 Sep-2023,Other,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,38,Survived,07h50,Unknown,Sep-2023,Sep,2023,Adult
11 Sep-2023,Unprovoked,USA,FLORIDA,"Satellite Beach, Brevard County",Surfing,M,nan,Survived,,Unknown,Sep-2023,Sep,2023,Unknown
04 Sep 2023,Unprovoked,USA,FLORIDA,"Ponce Inlet, Volusia County",Surfing,M,30s,Survived,,Unknown,Sep 2023,Sep,2023,Young Adult
04 Sep 2023,Unprovoked,USA,FLORIDA,"Ponce Inlet, Volusia County",wading,F,37,Survived,,Unknown,Sep 2023,Sep,2023,Adult
25 Aug 2023,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"Lighthouse Beach, Port Macquarie ",Surfing,M,44,Survived,10h00,Great White,Aug 2023,Aug,2023,Adult
23 Aug-2023,Unprovoked,USA,NORTH CAROLINA,"Oak Island, Brunswick County",wading,Unknown,9,Survived,,Unknown,Aug-2023,Aug,2023,Child
22 Aug-2023,Other,USA,CALIFORNIA,"Pebble Beach, San Mateo County",Fishing,M,19,Survived,13h00,Unknown,Aug-2023,Aug,2023,Young Adult
07 Aug-2023,Unprovoked,USA,NEW YORK,Rockaway,wading,F,65,Survived,17h50,Unknown,Aug-2023,Aug,2023,Senior
31 Jul-2023,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,22,Survived,09h30,Unknown,Jul-2023,July,2023,Young Adult
30 Jul-2023,Unprovoked,USA,FLORIDA,"Anna Maria Island, Manatee County",Fishing,M,22,Survived,15h30,Unknown,Jul-2023,July,2023,Young Adult
29 Jul-2023,Unprovoked,USA,FLORIDA,Tampa Bay,Swimming,F,26,Survived,20h00,Unknown,Jul-2023,July,2023,Young Adult
24 Jul-2023,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Gnarabup Beach ,Surfing,M,20s,Survived,08h45,Unknown,Jul-2023,July,2023,Young Adult
22 Jul-2023,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Yallingup Lagoon,Snorkeling,M,77,Survived,,Unknown,Jul-2023,July,2023,Senior
21 Jul-2023,Unprovoked,USA,SOUTH CAROLINA,"Sea Pines Beach, Hilton Head Island, Beaufort County",Boarding,M,60,Survived,13h20,Unknown,Jul-2023,July,2023,Adult
15 Jul-2023,Unprovoked,USA,FLORIDA,New Smyrna Beach,Unknown,M,49,Survived,14h00,Unknown,Jul-2023,July,2023,Adult
14 Jul-2023,Unprovoked,USA,FLORIDA,New Smyrna Beach,Surfing,M,21,Survived,15h00,Unknown,Jul-2023,July,2023,Young Adult
Reported 14 Jul-2023,Other,SOUTH AFRICA,EASTERN CAPE PROVINCE,Chinta East ,Unknown,Unknown,nan,Survived,,Unknown,Jul-2023,July,2023,Unknown
04 Jul-2023,Unprovoked,ECUADOR,GALAPAGOS ISLANDS,Mosquera Islet,Snorkeling,F,42,Survived,,Unknown,Jul-2023,July,2023,Adult
04 Jul-2023,Unprovoked,USA,NEW YORK,"Cherry Grove, Suffolk County",Standing,F,nan,Survived,16h25,Unknown,Jul-2023,July,2023,Unknown
04 Jul-2023,Unprovoked,USA,NEW YORK,"Fire Island Pines, Suffolk County",Swimming,M,49,Survived,13h55,Unknown,Jul-2023,July,2023,Adult
